Manufacturer,Typecode,nd,vd,ne,ve,PgF,dPgF,PrecisionMolding
Ohara,S-FPL51,1.49700,81.5468,1.49845,81.1526,0.537497,0.0280,
Ohara,S-FPL53,1.43875,94.9471,1.43985,94.4942,0.534342,0.0461,
Ohara,S-FPL55,1.43875,94.6622,1.43986,94.2172,0.534036,0.0457,
Ohara,S-FPM2,1.59522,67.7365,1.59732,67.3743,0.544273,0.0123,
Ohara,S-FPM3,1.53775,74.7040,1.53947,74.3420,0.539374,0.0186,
Ohara,S-FPM4,1.52841,76.4537,1.53006,76.0735,0.539551,0.0218,
Ohara,S-FPM5,1.55200,70.6979,1.55386,70.3377,0.542203,0.0150,
Ohara,S-FSL5,1.48749,70.2371,1.48915,70.0401,0.530088,0.0022,
Ohara,S-BSL7,1.51633,64.1428,1.51825,63.9307,0.535322,-0.0024,
Ohara,S-BSM2,1.60738,56.8168,1.60993,56.5290,0.548420,-0.0013,
Ohara,S-BSM10,1.62280,57.0534,1.62540,56.7807,0.546412,-0.0028,
Ohara,S-BSM14,1.60311,60.6418,1.60548,60.3871,0.541497,-0.0019,
Ohara,S-BSM15,1.62299,58.1665,1.62554,57.8948,0.545900,-0.0016,
Ohara,S-BSM16,1.62041,60.2903,1.62286,60.0292,0.542676,-0.0012,
Ohara,S-BSM18,1.63854,55.3807,1.64129,55.1042,0.548591,-0.0035,
Ohara,S-BSM25,1.65844,50.8782,1.66152,50.5920,0.556133,-0.0031,
Ohara,S-BSM28,1.61772,49.8157,1.62067,49.5206,0.560361,-0.0006,
Ohara,S-BSM71,1.64850,53.0245,1.65141,52.7318,0.554882,-0.0010,
Ohara,S-BSM81,1.64000,60.0788,1.64254,59.8818,0.537053,-0.0073,
Ohara,S-NSL3,1.51823,58.9028,1.52033,58.6283,0.545684,-0.0005,
Ohara,S-NSL36,1.51742,52.4315,1.51976,52.1442,0.556502,-0.0002,
Ohara,S-BAL3,1.57135,52.9527,1.57392,52.6551,0.555460,-0.0005,
Ohara,S-BAL12,1.53996,59.4632,1.54212,59.1942,0.544193,-0.0012,
Ohara,S-BAL14,1.56883,56.3646,1.57124,56.0875,0.548912,-0.0014,
Ohara,S-BAL35,1.58913,61.1357,1.59143,60.8863,0.540682,-0.0018,
Ohara,S-BAL42,1.58313,59.3754,1.58547,59.1089,0.543467,-0.0020,
Ohara,S-BAM4,1.60562,43.7075,1.60891,43.4137,0.572151,0.0013,
Ohara,S-BAM12,1.63930,44.8734,1.64268,44.5878,0.568444,-0.0006,
Ohara,S-BAH11,1.66672,48.3258,1.67000,48.0377,0.561023,-0.0024,
Ohara,S-BAH27,1.70154,41.2399,1.70557,40.9555,0.576651,0.0018,
Ohara,S-BAH28,1.72342,37.9561,1.72793,37.6786,0.583720,0.0035,
Ohara,S-PHM52,1.61800,63.3343,1.62033,63.0223,0.544156,0.0051,
Ohara,S-PHM52Q,1.61800,63.3222,1.62033,63.0290,0.542723,0.0036,
Ohara,S-PHM53,1.60300,65.4444,1.60520,65.1568,0.540230,0.0045,
Ohara,S-TIL1,1.54814,45.7848,1.55098,45.4934,0.568607,0.0012,
Ohara,S-TIL2,1.54072,47.2277,1.54344,46.9402,0.565129,0.0000,
Ohara,S-TIL6,1.53172,48.8413,1.53430,48.5490,0.563106,0.0007,
Ohara,S-TIL25,1.58144,40.7481,1.58482,40.4698,0.577581,0.0019,
Ohara,S-TIL26,1.56732,42.8176,1.57047,42.5371,0.573105,0.0009,
Ohara,S-TIL27,1.57501,41.5057,1.57829,41.2232,0.576731,0.0024,
Ohara,S-TIM2,1.62004,36.2638,1.62409,35.9958,0.588015,0.0051,
Ohara,S-TIM5,1.60342,38.0278,1.60718,37.7553,0.583577,0.0036,
Ohara,S-TIM8,1.59551,39.2428,1.59911,38.9683,0.580445,0.0023,
Ohara,S-TIM25,1.67270,32.0996,1.67765,31.8463,0.598925,0.0093,
Ohara,S-TIM27,1.63980,34.4669,1.64419,34.2033,0.592345,0.0065,
Ohara,S-TIM28,1.68893,31.0758,1.69417,30.8315,0.600422,0.0092,
Ohara,S-TIM35,1.69895,30.1282,1.70442,29.8901,0.603000,0.0103,
Ohara,S-TIH1,1.71736,29.5185,1.72310,29.2827,0.604843,0.0110,
Ohara,S-TIH3,1.74000,28.2964,1.74617,28.0693,0.607912,0.0122,
Ohara,S-TIH4,1.75520,27.5124,1.76167,27.2900,0.610349,0.0133,
Ohara,S-TIH6,1.80518,25.4257,1.81264,25.2201,0.616174,0.0158,
Ohara,S-TIH10,1.72825,28.4610,1.73429,28.2325,0.607737,0.0123,
Ohara,S-TIH11,1.78472,25.6838,1.79192,25.4746,0.616226,0.0162,
Ohara,S-TIH13,1.74077,27.7897,1.74705,27.5653,0.609623,0.0130,
Ohara,S-TIH14,1.76182,26.5182,1.76859,26.3033,0.613627,0.0150,
Ohara,S-TIH18,1.72151,29.2327,1.72733,28.9991,0.605430,0.0111,
Ohara,S-TIH53,1.84666,23.7782,1.85504,23.5898,0.620555,0.0175,
Ohara,S-TIH53W,1.84666,23.7782,1.85504,23.5898,0.620555,0.0175,
Ohara,S-TIH53WN,1.84666,23.8641,1.85501,23.6732,0.620949,0.0179,
Ohara,S-TIH57,1.96300,24.1147,1.97240,23.9185,0.621272,0.0187,
Ohara,S-LAL7Q,1.65160,58.5451,1.65425,58.3383,0.539021,-0.0078,
Ohara,S-LAL8,1.71299,53.8677,1.71615,53.6359,0.545881,-0.0084,
Ohara,S-LAL9,1.69100,54.8232,1.69401,54.5905,0.545008,-0.0079,
Ohara,S-LAL10,1.72000,50.2312,1.72341,49.9824,0.552155,-0.0081,
Ohara,S-LAL12,1.67790,55.3419,1.68082,55.0784,0.547274,-0.0047,
Ohara,S-LAL12Q,1.67790,55.3475,1.68082,55.1221,0.543408,-0.0085,
Ohara,S-LAL14,1.69680,55.5329,1.69979,55.3096,0.543421,-0.0082,
Ohara,S-LAL18,1.72916,54.6807,1.73234,54.4520,0.544526,-0.0086,
Ohara,S-LAL18N,1.72916,54.5934,1.73234,54.3677,0.544272,-0.0089,
Ohara,S-LAL19,1.72916,54.0959,1.73237,53.8692,0.544918,-0.0092,
Ohara,S-LAL20,1.69930,51.1128,1.70256,50.8166,0.555244,-0.0036,
Ohara,S-LAL21,1.70300,52.3800,1.70620,52.1099,0.550714,-0.0061,
Ohara,S-LAL54Q,1.65100,56.2390,1.65376,56.0187,0.542114,-0.0085,
Ohara,S-LAL58,1.69350,50.8113,1.69675,50.5301,0.554721,-0.0047,
Ohara,S-LAL59,1.73400,51.4712,1.73739,51.2365,0.548756,-0.0096,
Ohara,S-LAL61,1.74100,52.6371,1.74435,52.4083,0.546774,-0.0096,
Ohara,S-LAL61Q,1.74100,52.6026,1.74436,52.3602,0.547933,-0.0085,
Ohara,S-LAM2,1.74400,44.7870,1.74795,44.5076,0.565613,-0.0035,
Ohara,S-LAM3,1.71700,47.9285,1.72056,47.6434,0.560632,-0.0034,
Ohara,S-LAM7,1.74950,35.2838,1.75453,35.0242,0.587060,0.0025,
Ohara,S-LAM55,1.76200,40.1007,1.76651,39.8256,0.576565,-0.0001,
Ohara,S-LAM60,1.74320,49.3400,1.74678,49.0982,0.553135,-0.0085,
Ohara,S-LAM66,1.80100,34.9678,1.80642,34.7213,0.586437,0.0015,
Ohara,S-LAM73,1.79360,37.0899,1.79867,36.8189,0.582857,0.0013,
Ohara,S-LAH51,1.78590,44.2032,1.79012,43.9480,0.563186,-0.0069,
Ohara,S-LAH52,1.79952,42.2255,1.80401,41.9699,0.567281,-0.0060,
Ohara,S-LAH52Q,1.79952,42.2400,1.80402,41.9780,0.567593,-0.0056,
Ohara,S-LAH53,1.80610,40.9265,1.81078,40.6719,0.570208,-0.0052,
Ohara,S-LAH53V,1.80610,40.9303,1.81078,40.6675,0.571429,-0.0039,
Ohara,S-LAH55V,1.83481,42.7258,1.83945,42.4757,0.564874,-0.0075,
Ohara,S-LAH55VS,1.83481,42.7442,1.83945,42.4917,0.564914,-0.0075,
Ohara,S-LAH58,1.88300,40.7656,1.88815,40.5200,0.566803,-0.0088,
Ohara,S-LAH59,1.81600,46.6211,1.82017,46.3702,0.556832,-0.0092,
Ohara,S-LAH60,1.83400,37.1609,1.83932,36.9170,0.577601,-0.0037,
Ohara,S-LAH60MQ,1.83400,37.1726,1.83932,36.9180,0.578674,-0.0027,
