Manufacturer,Typecode,nd,vd,"P_g,F","d_Pg,F"
Hoya,E-FDS3,2.1042,17.02,0.66307,0.0454
Hoya,TaFD65,2.0509,26.94,0.605385,0.0053
Ohara,S-LAH79,2.0033,28.3,0.598,0.0023
Hoya,E-FDS2,2.0027,19.32,0.645155,0.0316
Hoya,M-FDS2,2.0018,19.33,0.644676,0.0313
Ohara,S-LAH99,2.001,29.1,0.5997,0.0054
Hikari,J-LASFH16,2.001,29.12,0.5996,0.0041
Hoya,TaFD55,2.001,29.13,0.599709,0.0036
Hoya,TaFD40,2.0007,25.46,0.613584,0.0111
Hikari,J-LASFH17,2.0007,25.46,0.614,0.0123
Hoya,FDS16-W,1.9861,16.48,0.665664,0.0469
Ohara,S-TIH57,1.963,24.1,0.6212,0.0187
Ohara,S-NPH3,1.9591,17.5,0.6598,0.0466
Ohara,S-LAH98,1.9538,32.3,0.5905,0.0013
Hoya,TaFD45,1.9538,32.32,0.58977,0
Hikari,J-LASFH21,1.9538,32.33,0.5905,0.0004
Hoya,M-TAFD405,1.9515,29.83,0.595298,0.001
Hikari,J-LASFH15,1.95,29.37,0.6001,0.005
Hoya,FDS18,1.9459,17.98,0.654563,0.0386
Ohara,S-NPH2,1.9229,18.9,0.6495,0.0386
Hoya,E-FDS1,1.9229,20.88,0.639059,0.0283
Hoya,M-FDS1,1.9229,20.88,0.636878,0.0263
Hoya,FDS24,1.9212,23.96,0.620286,0.015
Ohara,S-LAH88,1.9165,31.6,0.5911,0.0008
Hoya,TaFD35,1.9108,35.25,0.58243,-0.0027
Ohara,S-LAH93,1.9053,35,0.5848,0
Hikari,J-LASFH13,1.9037,31.27,0.5948,0.0029
Ohara,S-LAH95,1.9037,31.3,0.5963,0.0055
Hoya,TaFD25,1.9037,31.32,0.594595,0.0028
Hikari,J-LASFH9A,1.9027,35.77,0.5815,-0.0028
Hikari,J-LASFH24,1.902,25.26,0.6166,0.0146
Hoya,NbFD27,1.9011,27.06,0.607207,0.0076
Hoya,TaFD37,1.9004,37.37,0.577418,-0.0039
Hoya,TaFD37A,1.9004,37.37,0.576588,-0.0044
Ohara,S-NPH4,1.8929,20.4,0.6393,0.0308
Ohara,S-LAH92,1.8919,37.1,0.578,-0.0034
Hikari,J-LASF08A,1.883,40.69,0.5673,-0.0088
Hoya,TaFD30,1.883,40.81,0.565619,-0.0093
