Lens Data,,,,,,,
Surface,Radius,Thickness,Material,nd,vd,?nd,?vd
OBJ,0,d0,,,,,
1,38.185,3.07,S-LAH55V,1.834807,42.7253,,
2,-93.918,1.2,S-TIL6,1.531717,48.8407,,
3,13.191,2.2,,,,,
4,15.211,2.01,S-LAL14,1.696797,55.5322,,
5,28.38,2.33,,,,,
6,0,d6,,,,,
7,-11.637,1,S-TIM35,1.698947,30.1279,,
8,132.356,3.35,S-LAH55V,1.834807,42.7253,,
9,-18.087,0.15,,,,,
10,-39.511,3.08,L-BAL42,1.588126,59.3057,0.005000,-0.0800
11,-15.371,d11,,,,,
IMG,0,,,,,,
,,,,,,,
Asphere Data,,,,,,,
Surface,k,A4,A6,A8,A10,,
10,0,-3.4255E-05,4.6012E-08,-2.0635E-09,1.3485E-11,,
,,,,,,,
Multiconfiguration Data,,,,,,,
,infinity,1m_closeup,0.4m_closeup,,,,
aperture,2.8,2.86,3.05,,,,
d0,infinity,1000,330,,,,
d6,5.12,4.9,4.5,,,,
d11,38.92,40.47,43.8,,,,
